plosive/stop;velar;voiceless;aspirated kʰ
plosive/stop;labial;voiceless;aspirated pʰ
plosive/stop;alveolar;voiceless;aspirated tʰ

plosive/stop;labial;velar 
voiced    ɡ͡b;ɡb 
voiceless k͡p;kp

plosive/stop;nasal;labial;voiced mb
plosive/stop;nasal;alveolar;voiced nd
plosive/stop;nasal;velar;voiced ŋɡ

velar;labial;approximant;voiced               w
velar;labial;approximant;voiceless            ʍ
velar;labial;plosive/stop;voiceless           kʷ
velar;labial;plosive/stop;voiced              ɡʷ
velar;labial;non-sibilant_fricative;voiceless xʷ
velar;labial;non-sibilant_fricative;voiced    ɣʷ
velar;labial;nasal;voiced                     ŋʷ

non-sibilant_fricative;voiceless;labial;dental;palatal2 fʲ
non-sibilant_fricative;voiced;labial;dental;palatal2 vʲ
nasal;voiced;alveolar;palatal2 nʲ
plosive/stop;voiceless;velar;palatal2 kʲ
plosive/stop;voiced;velar;palatal2 gʲ
nasal;voiced;velar;palatal2 ŋʲ
non-sibilant_fricative;voiceless;velar;palatal2 xʲ
non-sibilant_fricative;voiceless;glottal;palatal2 hʲ

click_tenuis_lateral;velar;retroflex kǀǀ
click_tenuis_lateral;uvular;retroflex qǀǀ
click_voiced_lateral;velar;retroflex ɡǀǀ
click_voiced_lateral;uvular;retroflex ɢǀǀ
click_nasal_lateral;velar;retroflex ŋǀǀ
click_nasal_lateral;uvular;retroflex ɴǀǀ
